,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,카테고리,기술스택
1108228,데이터 엔지니어/PM(경력) 채용,메이븐클라우드서비스,"['Etl', 'SQL', 'R', 'Python', 'PySpark']",0,68,10,30,서울,강남구,70,2024-01-02 00:11:43.140355,빅데이터 엔지니어,SQL
1108232,고객 및 디지털 데이터 분석(차장~부장),콘센트릭스서비스코리아,"['Python', 'R', 'SQL', 'Pandas', 'Google BigQuery Data Transfer Service', 'TensorFlow', 'PyTorch', 'Spark', 'MariaDB', 'NoSql', 'MongoDB']",0,94,10,15,서울,용산구,70,2024-01-02 00:11:52.139497,빅데이터 엔지니어,SQL
1108235,Senior Data Scientist,카비,"['R', 'Python', 'SQL', 'AWS']",2,298,3,10,서울,금천구,70,2024-01-02 00:11:57.853253,빅데이터 엔지니어,SQL
1108236,[유망 스타트업] Data Engineer,지놈인사이트테크놀로지,"['SQL', 'BigData', 'AWS', 'Blockchain']",6,162,5,10,서울,서초구,70,2024-01-02 00:11:58.974428,빅데이터 엔지니어,SQL
1108240,[Moloco] Senior Growth Data Scientist,몰로코,"['Python', 'SQL']",1,106,5,20,서울,강남구,70,2024-01-02 00:12:08.076274,빅데이터 엔지니어,SQL
1108242,디지털 웹 개인화 캠페인 성과 분석 (차장~부장),콘센트릭스서비스코리아,"['Google Analytics', 'SQL', 'MySQL', 'MSSQL', 'MariaDB', 'MongoDB', 'NoSql']",1,63,10,20,서울,용산구,70,2024-01-02 00:12:13.676379,빅데이터 엔지니어,SQL
1108252,[그루비 SaaS 솔루션] 데이터사이언티스트,플래티어,"['MachineLearning', 'DeepLearning', 'Python', 'SQL', 'AWS', 'GCP', 'TensorFlow', 'Spark', 'PyTorch']",11,593,1,10,서울,송파구,70,2024-01-02 00:09:48.022316,인공지능/머신러닝,SQL
1108284,Data Scientist 경력 채용,피에트,"['MachineLearning', 'DeepLearning', 'NLP', 'SQL', 'Python']",3,150,4,10,서울,강남구,70,2024-01-02 00:10:12.026351,인공지능/머신러닝,SQL
1108300,[핀트] 투자로직 연구개발자,디셈버앤컴퍼니,"['Python', 'MachineLearning', 'AI/인공지능', 'SQL']",10,248,3,9,서울,강남구,70,2024-01-02 00:10:35.850813,인공지능/머신러닝,SQL
1108326,[부피 알고리즘] 데이터 사이언티스트,안티그래비티,"['Python', 'TensorFlow', 'MachineLearning', 'AI/인공지능', 'Scala', 'Java', 'SQL', 'Spark', 'Hadoop', 'Google BigQuery']",11,786,3,20,서울,성동구,70,2024-01-02 00:10:55.185900,인공지능/머신러닝,SQL
1108337,[Moloco] Senior Data Scientist,몰로코,"['Python', 'R', 'SQL', 'Pandas', 'MachineLearning']",6,245,3,20,서울,강남구,70,2024-01-02 00:11:07.614495,인공지능/머신러닝,SQL
1108345,지능형 클라우드 R&D 연구원,오케스트로,"['Python', 'Jira', 'R', 'SQL', 'AI/인공지능', 'Git']",19,1233,0,5,서울,영등포구,70,2024-01-02 00:11:20.319699,인공지능/머신러닝,SQL
1108353,머신러닝 엔지니어 / AI Researcher,아이헤이트플라잉버그스,"['Python', 'SQL', 'FastAPI', 'Google BigQuery', 'AWS', 'scikit-learn', 'TensorFlow', 'PyTorch', 'MachineLearning', 'AI/인공지능']",3,217,5,10,서울,영등포구,70,2024-01-02 00:11:26.019346,인공지능/머신러닝,SQL
1108370,머신러닝 엔지니어 모집,와이더플래닛,"['Hadoop', 'Spark', 'Elasticsearch', 'Kubernetes', 'Slack', 'MachineLearning', 'EDA', 'SQL', 'TensorFlow', 'PyTorch']",2,103,1,10,서울,강남구,70,2024-01-02 00:11:38.499506,인공지능/머신러닝,SQL
1108391,Senior Data Scientist,카비,"['R', 'Python', 'SQL', 'AWS']",2,298,3,10,서울,금천구,70,2024-01-02 00:11:57.853253,인공지능/머신러닝,SQL
1108394,[Moloco] Senior Growth Data Scientist,몰로코,"['Python', 'SQL']",1,106,5,20,서울,강남구,70,2024-01-02 00:12:08.076274,인공지능/머신러닝,SQL
1108478,Data Engineer,디플래닉스,"['AWS', 'GCP', 'AZURE', 'Python', 'SQL', 'Scala', 'Java']",13,365,3,8,서울,서초구,70,2024-01-02 00:11:05.408225,devops/시스템 엔지니어,SQL
1108509,HR 시스템 운영 및 개발,이랜드이노플,"['Java', 'JavaScript', 'Python', 'SQL', 'Apache Tomcat', 'ABAP', 'R', 'Spring Framework', 'Spring Boot']",0,146,5,7,서울,금천구,70,2024-01-02 00:11:35.165443,devops/시스템 엔지니어,SQL
1108520,[Platform] DevOps Engineer,앤서스랩코리아,"['MSA', 'Amazon API Gateway', 'AWS', 'AZURE', 'SQL', 'NoSql', 'Ansible', 'Packer', 'Terraform', 'Kubernetes']",3,96,3,10,서울,강남구,70,2024-01-02 00:11:43.140355,devops/시스템 엔지니어,SQL
1108534,[ENCGLS/사업본부] IT엔지니어(SI/SM) 경력자 채용,이앤씨지엘에스,"['Java', 'SQL']",2,61,3,10,경기,성남시,70,2024-01-02 00:11:51.028020,devops/시스템 엔지니어,SQL
1108535,Azure Cloud Solutions Architect 개발자,유룸,"['Azure DevOps', 'OAuth2', 'Azure Storage', 'Docker', 'Azure Cosmos DB', 'Azure App Service', 'SQL', 'Git']",2,258,2,8,서울,강남구,70,2024-01-02 00:11:52.139497,devops/시스템 엔지니어,SQL
